City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
87,Cayenne,4.9333,-52.3333,77.04,91,90,4.0,GF,2021-10-25 00:49:03,overcast clouds
88,Carnarvon,-24.8667,113.6333,71.67,60,88,12.66,AU,2021-10-25 00:48:17,overcast clouds
89,Shahrud,36.4182,54.9763,47.61,52,2,3.67,IR,2021-10-25 00:49:04,clear sky
90,Fort Nelson,58.8053,-122.7002,38.79,70,1,2.3,CA,2021-10-25 00:45:18,clear sky
91,Paamiut,61.994,-49.6678,26.73,40,0,10.36,GL,2021-10-25 00:49:04,clear sky
92,Hervey Bay,-25.2986,152.8535,82.51,77,82,6.08,AU,2021-10-25 00:49:05,broken clouds
93,Fortuna,40.5982,-124.1573,59.34,78,40,3.0,US,2021-10-25 00:49:05,scattered clouds
94,Upernavik,72.7868,-56.1549,14.38,67,0,5.93,GL,2021-10-25 00:49:05,clear sky
95,Norman Wells,65.282,-126.8329,23.04,93,90,5.75,CA,2021-10-25 00:46:41,overcast clouds
96,Carutapera,-1.195,-46.02,79.95,81,50,8.28,BR,2021-10-25 00:49:06,scattered clouds
97,Merrill,45.1805,-89.6835,46.17,64,1,3.44,US,2021-10-25 00:49:06,clear sky
98,Madimba,-10.4,40.3333,76.03,90,29,6.31,TZ,2021-10-25 00:49:07,light rain
99,Rio Gallegos,-51.6226,-69.2181,41.05,38,0,17.27,AR,2021-10-25 00:49:07,clear sky
100,San Patricio,28.017,-97.5169,83.53,78,0,12.08,US,2021-10-25 00:49:08,clear sky
101,Flinders,-34.5833,150.8552,70.18,48,2,1.99,AU,2021-10-25 00:49:08,clear sky
102,Biasca,46.3597,8.9697,52.32,66,96,1.3,CH,2021-10-25 00:49:08,overcast clouds
103,Marrakesh,31.6315,-8.0083,68.07,40,0,5.75,MA,2021-10-25 00:44:22,clear sky
104,Katsuura,35.1333,140.3,64.18,55,39,12.15,JP,2021-10-25 00:44:41,scattered clouds
105,Ribeira Grande,38.5167,-28.7,66.22,72,8,3.29,PT,2021-10-25 00:49:09,clear sky
106,Pirgos,35.1167,25.7178,68.63,65,89,14.9,GR,2021-10-25 00:49:09,overcast clouds
107,Kununurra,-15.7667,128.7333,89.58,55,70,3.44,AU,2021-10-25 00:49:10,broken clouds
108,Kholodnyy,62.7167,147.95,3.11,90,64,2.48,RU,2021-10-25 00:49:10,broken clouds
109,Longyearbyen,78.2186,15.6401,19.24,79,90,9.22,SJ,2021-10-25 00:49:10,overcast clouds
110,Hasaki,35.7333,140.8333,64.8,50,83,10.49,JP,2021-10-25 00:47:26,broken clouds
111,Coolum Beach,-26.5333,153.1,79.11,71,63,1.99,AU,2021-10-25 00:49:11,broken clouds
112,Moron,-34.6534,-58.6198,69.55,42,0,1.01,AR,2021-10-25 00:49:11,clear sky
113,Yumen,40.2833,97.2,45.14,35,100,14.58,CN,2021-10-25 00:49:12,overcast clouds
114,Cherskiy,68.75,161.3,-8.61,95,38,3.91,RU,2021-10-25 00:49:12,scattered clouds
115,Leningradskiy,69.3833,178.4167,3.83,92,87,7.2,RU,2021-10-25 00:49:12,overcast clouds
116,Arraial Do Cabo,-22.9661,-42.0278,71.71,90,100,18.37,BR,2021-10-25 00:49:13,overcast clouds
117,Saint-Augustin,51.226,-58.6502,42.33,72,100,23.38,CA,2021-10-25 00:49:13,overcast clouds
118,Margate,51.3813,1.3862,58.3,90,100,1.99,GB,2021-10-25 00:49:13,overcast clouds
119,Rocha,-34.4833,-54.3333,60.73,57,0,13.33,UY,2021-10-25 00:49:14,clear sky
120,Kabinda,-6.1333,24.4833,64.56,96,100,3.06,CD,2021-10-25 00:49:14,overcast clouds
121,Siloam Springs,36.1881,-94.5405,72.21,87,90,1.01,US,2021-10-25 00:46:29,overcast clouds
122,Victoria,22.2855,114.1577,71.33,70,100,5.99,HK,2021-10-25 00:45:03,overcast clouds
123,Taltal,-25.4,-70.4833,60.24,78,22,2.91,CL,2021-10-25 00:49:15,few clouds
124,Asau,46.4333,26.4,34.72,88,12,2.57,RO,2021-10-25 00:49:15,few clouds
125,Marsh Harbour,26.5412,-77.0636,80.46,78,100,13.42,BS,2021-10-25 00:49:16,overcast clouds
126,Balkhash,46.844,74.9804,41.25,57,3,12.97,KZ,2021-10-25 00:49:16,clear sky
127,Chojnow,51.2737,15.9366,46.71,64,70,4.43,PL,2021-10-25 00:49:16,broken clouds
128,Hobart,-42.8794,147.3294,56.05,67,75,4.0,AU,2021-10-25 00:49:17,broken clouds
129,Denizli,37.8402,29.0698,58.05,86,86,3.85,TR,2021-10-25 00:49:17,overcast clouds
130,Torbay,47.6666,-52.7314,54.57,87,75,28.77,CA,2021-10-25 00:49:17,very heavy rain
131,Caravelas,-17.7125,-39.2481,77.38,87,100,8.99,BR,2021-10-25 00:49:18,overcast clouds
132,Chelno-Vershiny,54.4333,51.1,39.31,76,100,6.78,RU,2021-10-25 00:49:18,overcast clouds
133,Taoudenni,22.6783,-3.9836,83.57,19,5,10.36,ML,2021-10-25 00:49:19,clear sky
134,Goderich,43.7501,-81.7165,47.91,87,100,4.61,CA,2021-10-25 00:45:18,overcast clouds
135,Abay,49.6311,72.8539,25.18,57,60,6.93,KZ,2021-10-25 00:49:19,broken clouds
136,Souillac,-20.5167,57.5167,73.78,78,40,11.5,MU,2021-10-25 00:47:42,scattered clouds
137,Marsa Matruh,31.3525,27.2453,71.8,73,20,5.75,EG,2021-10-25 00:49:20,few clouds
138,Jizan,17.3333,42.6667,83.34,68,5,0.85,SA,2021-10-25 00:49:20,clear sky
139,Kaitangata,-46.2817,169.8464,60.4,71,100,7.87,NZ,2021-10-25 00:49:20,overcast clouds
140,Longhua,23.6137,114.1919,64.76,70,96,3.47,CN,2021-10-25 00:49:21,overcast clouds
141,Qingdao,36.0986,120.3719,49.6,87,0,0.0,CN,2021-10-25 00:49:21,mist
142,Severo-Kurilsk,50.6789,156.125,39.33,69,96,17.34,RU,2021-10-25 00:49:22,overcast clouds
143,Castro,-24.7911,-50.0119,54.43,98,100,4.36,BR,2021-10-25 00:46:48,overcast clouds
144,Lappeenranta,61.0587,28.1887,42.85,93,90,6.91,FI,2021-10-25 00:49:22,light intensity shower rain
145,Izhma,65.0083,53.9113,27.9,93,100,5.3,RU,2021-10-25 00:49:22,overcast clouds
146,Hanna,51.6334,-111.9018,51.31,63,100,11.99,CA,2021-10-25 00:49:23,overcast clouds
147,Eha Amufu,6.6592,7.7596,74.52,89,90,1.61,NG,2021-10-25 00:49:23,light rain
148,Dikson,73.5069,80.5464,10.76,88,100,17.83,RU,2021-10-25 00:49:23,overcast clouds
149,Freeport,40.6576,-73.5832,59.99,69,1,5.99,US,2021-10-25 00:49:24,clear sky
150,Zhangjiakou,40.81,114.8794,50.23,45,100,1.3,CN,2021-10-25 00:49:24,overcast clouds
151,Labytnangi,66.6572,66.4183,16.2,92,98,4.21,RU,2021-10-25 00:49:24,overcast clouds
152,Warmbad,-28.45,18.7333,61.84,25,0,9.6,NA,2021-10-25 00:49:25,clear sky
153,Road Town,18.4167,-64.6167,82.2,76,42,17.96,VG,2021-10-25 00:49:25,scattered clouds
154,Sovetskiy,61.3614,63.5842,30.18,95,100,2.98,RU,2021-10-25 00:49:25,light snow
155,Chokurdakh,70.6333,147.9167,-3.82,98,100,2.24,RU,2021-10-25 00:49:26,overcast clouds
156,Campbell River,50.0163,-125.2446,52.52,87,90,3.0,CA,2021-10-25 00:49:23,overcast clouds
157,Barrow,71.2906,-156.7887,28.42,80,90,9.22,US,2021-10-25 00:49:26,overcast clouds
158,Padang,-0.9492,100.3543,77.05,88,100,3.33,ID,2021-10-25 00:49:26,overcast clouds
159,Lukovetskiy,64.2956,41.9211,30.18,93,51,9.28,RU,2021-10-25 00:49:27,light snow
160,Saldanha,-33.0117,17.9442,51.85,75,0,12.19,ZA,2021-10-25 00:49:27,clear sky
